1;AgriContato;EMP
2;Barry Callebaut;EMP
3;Barry Callebaut;EMP
4;Brownbreeding;EMP
5;Fincas Jarquin;EMP
6;Galloway Cattle Co;EMP
7;Kasetsart University (KU);EMP
8;Smithfield;EMP
9;Univ de Lleyda;EMP
10;Univ of Connecticut (UCONN);EMP
11;Univ of Tennessee (UTIA);EMP
12;CEICKOR;EMP
13;Cooperativa Agricola Vitivinicola Loncomilla Ltda.;EMP
14;Oregon State University;EMP
15;Everglades Research and Education Center (EREC) - University of Florida (UF);EMP
16;University of Udine;EMP
17;Utah State University;EMP
18;Energypalma, S.A.;EMP
19;Cria Fertil;EMP
20;Ganaderia La Judea S.A.;EMP
21;Salmor, S.A.;EMP
22;Corporacion Montelimar;EMP
23;Universidad Veraruzana;EMP
24;Universidad Autonoma de Yucatan;EMP
