1;Agricultura Organica;AOrg;1;1
2;Centro de Innovacion de Frutas y Hortalizas;CIFH;1;2
3;Control Biologico;CB;1;3
4;Cultivo de Tejidos;CT;1;4
5;Entomologia;Ent;1;5
6;Fitomejoramiento;FM;1;6
7;Fitopatologia;FP;1;7
8;Frutales;Frut;1;8
9;Granos y Semillas;GyS;1;9
10;Manejo Integrado de Cultivos;MIC;1;10
11;Manejo Integrado de Plagas;MIP;1;11
12;Maquinaria y Riegos;MyR;1;12
13;Olericultura Intensiva;OInt;1;13
14;Olericultura Extensiva;OExt;1;14
15;Ornamentales;Orn;1;15
16;Sanidad Vegetal;SV;1;16
17;Suelos;Suel;1;17
18;Acuacultura;Ac;2;18
19;Apicultura;Ap;2;19
20;Avicultura;Av;2;20
21;Ganado Caprino;GCap;2;21
22;Ganado de Carne;GCar;2;22
23;Ganado Lechero;GL;2;23
24;Ganado Ovino;GO;2;24
25;Inseminacion Artificial;InsArt;2;1
26;Mejoramiento y Genetica;MyG;2;2
27;Nutricion Animal;NA;2;3
28;Porcinocultura;Porc;2;4
29;Reproduccion Animal;RA;2;5
30;Transferencia de Embriones;Temb;2;6
